Wall time,Step,Value
1711626744.3322372,2048,0.0
1711626749.601665,6144,0.0
1711626752.261763,8192,10.0
1711626754.898567,10240,10.0
1711626767.9304125,20480,0.0
1711626770.5268562,22528,0.0
1711626773.1047828,24576,0.0
1711626780.9490075,30720,0.0
1711626783.5466614,32768,0.0
1711626786.1358006,34816,0.0
1711626791.3946564,38912,0.0
1711626793.9913895,40960,0.0
1711626796.5895364,43008,0.0
1711626801.806909,47104,0.0
1711626804.4160042,49152,0.0
1711626812.2472892,55296,0.0
1711626814.8292027,57344,0.0
1711626817.4140923,59392,0.0
1711626819.9952097,61440,0.0
1711626822.5768168,63488,0.0
1711626830.333675,69632,0.0
1711626832.91396,71680,0.0
1711626838.0734825,75776,0.0
1711626840.6603367,77824,0.0
1711626843.2433896,79872,0.0
1711626845.8296156,81920,0.0
1711626848.4135146,83968,0.0
1711626866.5197356,98304,0.0
1711626869.1223664,100352,0.0
1711626871.7357023,102400,0.0
1711626874.3225312,104448,0.0
1711626876.932251,106496,0.0
1711626879.538485,108544,0.0
1711626882.1176944,110592,0.0
1711626884.6763272,112640,0.0
1711626887.248362,114688,0.0
1711626892.4915304,118784,0.0
1711626900.2872205,124928,0.0
1711626902.9075913,126976,0.0
1711626905.5289986,129024,0.0
1711626908.1141615,131072,0.0
1711626913.4052696,135168,0.0
1711626916.0131187,137216,0.0
1711626918.6143644,139264,0.0
1711626921.2018685,141312,0.0
1711626926.41875,145408,0.0
1711626929.0046473,147456,0.0
1711626934.2087386,151552,0.0
1711626939.3681848,155648,0.0
1711626944.5476177,159744,0.0
1711626947.152401,161792,0.0
1711626949.7467544,163840,0.0
1711626952.3578484,165888,0.0
1711626957.6220748,169984,0.0
1711626960.2150974,172032,0.0
1711626965.3784704,176128,0.0
1711626967.9554374,178176,0.0
1711626970.5322258,180224,0.0
1711626975.7039542,184320,0.0
1711626978.2813911,186368,0.0
1711626991.236547,196608,0.0
1711626993.8122375,198656,0.0
1711627001.5641322,204800,0.0
1711627004.161283,206848,0.0
1711627011.899346,212992,0.0
1711627014.4881425,215040,0.0
1711627019.6946235,219136,0.0
1711627022.3383849,221184,0.0
1711627024.984849,223232,0.0
1711627027.633487,225280,0.0
1711627030.2875102,227328,0.0
1711627032.9142003,229376,0.0
1711627035.5544875,231424,0.0
1711627040.853151,235520,0.0
1711627043.482404,237568,0.0
1711627046.1103823,239616,0.0
1711627048.7475276,241664,0.0
1711627056.6496615,247808,0.0
1711627059.2704813,249856,0.0
1711627069.615866,258048,0.0
1711627072.2093022,260096,0.0
1711627077.3781037,264192,0.0
1711627079.9597607,266240,0.0
1711627082.602233,268288,0.0
1711627085.2116835,270336,0.0
1711627087.816865,272384,0.0
1711627092.9891772,276480,0.0
1711627098.1641378,280576,0.0
1711627100.7488184,282624,0.0
1711627103.3305562,284672,0.0
1711627105.9125333,286720,0.0
1711627108.5045533,288768,0.0
1711627111.1015854,290816,0.0
1711627116.2761781,294912,0.0
1711627118.8825023,296960,0.0
1711627121.4837067,299008,0.0
1711627124.080621,301056,0.0
1711627126.727031,303104,0.0
1711627134.5193202,309248,0.0
1711627144.8746543,317440,0.0
1711627150.102974,321536,0.0
1711627152.7057347,323584,0.0
1711627157.8666615,327680,0.0
1711627160.4451396,329728,0.0
1711627165.6374817,333824,0.0
1711627168.2690148,335872,0.0
1711627170.855289,337920,0.0
1711627176.0156221,342016,0.0
1711627181.202031,346112,0.0
1711627186.384989,350208,0.0
1711627188.978399,352256,0.0
1711627191.5814695,354304,0.0
1711627196.7542813,358400,0.0
1711627199.3507755,360448,0.0
1711627201.9596653,362496,0.0
1711627204.5545847,364544,0.0
1711627207.1393213,366592,0.0
1711627212.3139815,370688,0.0
1711627214.9018984,372736,0.0
1711627217.5120697,374784,0.0
1711627220.0812361,376832,0.0
1711627222.6820946,378880,0.0
1711627225.2694774,380928,0.0
1711627227.8631508,382976,0.0
1711627235.6244738,389120,0.0
1711627238.2710607,391168,0.0
1711627240.841016,393216,0.0
1711627243.4064937,395264,0.0
1711627251.0738728,401408,160.0
1711627258.7760997,407552,0.0
1711627261.3800066,409600,0.0
1711627263.9327793,411648,0.0
1711627269.068755,415744,0.0
1711627271.6636155,417792,0.0
1711627274.2793438,419840,0.0
1711627276.870947,421888,0.0
1711627282.0567365,425984,0.0
1711627284.6543102,428032,0.0
1711627287.2604063,430080,0.0
1711627292.4737475,434176,0.0
1711627297.6768146,438272,0.0
1711627302.8494692,442368,0.0
1711627305.4513023,444416,0.0
1711627310.6470935,448512,0.0
1711627313.3026123,450560,0.0
1711627315.9046361,452608,0.0
1711627318.5073974,454656,0.0
1711627321.1099133,456704,0.0
1711627326.3221734,460800,0.0
1711627328.9410028,462848,0.0
1711627331.5561433,464896,0.0
1711627339.3799486,471040,0.0
1711627344.5783901,475136,0.0
1711627347.191398,477184,0.0
