Wall time,Step,Value
1715333641.5377803,16384,0.0
1715333650.7049155,32768,0.0
1715333660.1161354,49152,0.0
1715333669.5280766,65536,0.0
1715333678.9403963,81920,0.0
1715333688.4964616,98304,150.0
1715333698.239526,114688,0.0
1715333707.828797,131072,0.0
1715333717.4931877,147456,0.0
1715333727.1049123,163840,0.0
1715333736.7354994,180224,0.0
1715333746.3186154,196608,0.0
1715333755.4835663,212992,0.0
1715333764.663945,229376,0.0
1715333773.9644225,245760,0.0
1715333783.2659445,262144,0.0
1715333792.6787987,278528,0.0
1715333802.069959,294912,0.0
1715333811.3433378,311296,0.0
1715333820.5916471,327680,0.0
1715333829.7365499,344064,0.0
1715333839.0364864,360448,0.0
1715333848.2365563,376832,0.0
1715333857.5341127,393216,0.0
1715333866.6691797,409600,0.0
1715333875.9251988,425984,0.0
1715333885.4201415,442368,0.0
1715333894.8740318,458752,0.0
1715333904.0560272,475136,0.0
1715333913.3550625,491520,0.0
1715333922.6548135,507904,0.0
1715333932.000356,524288,0.0
1715333941.3319497,540672,0.0
1715333950.6221416,557056,0.0
1715333959.8437703,573440,0.0
1715333969.3129816,589824,0.0
1715333978.8139396,606208,0.0
1715333988.2851815,622592,0.0
1715333997.6731372,638976,0.0
1715334006.978836,655360,0.0
1715334016.3274662,671744,0.0
1715334025.5231833,688128,0.0
1715334035.139467,704512,0.0
1715334044.6620147,720896,0.0
1715334054.268804,737280,0.0
1715334063.4735882,753664,0.0
1715334073.1894717,770048,0.0
1715334082.8174546,786432,0.0
1715334092.5997999,802816,0.0
1715334102.2179904,819200,0.0
1715334111.9374547,835584,0.0
1715334121.568,851968,0.0
1715334131.3233938,868352,0.0
1715334140.8367693,884736,0.0
1715334150.4980605,901120,0.0
1715334159.7828102,917504,0.0
1715334168.996469,933888,0.0
1715334178.2776644,950272,0.0
1715334187.647521,966656,0.0
1715334197.0193493,983040,0.0
1715334206.4303532,999424,0.0
1715334215.738626,1015808,0.0
1715334225.2573845,1032192,0.0
1715334234.6021366,1048576,0.0
1715334243.912649,1064960,0.0
1715334253.3119323,1081344,0.0
1715334262.655822,1097728,0.0
1715334271.9368773,1114112,0.0
1715334281.1329036,1130496,0.0
1715334290.4940903,1146880,0.0
1715334299.6704695,1163264,0.0
1715334308.9103503,1179648,0.0
1715334318.0883167,1196032,0.0
1715334327.2731967,1212416,0.0
1715334336.590389,1228800,0.0
1715334346.0901725,1245184,0.0
1715334355.421131,1261568,0.0
1715334365.0188122,1277952,0.0
1715334374.5662355,1294336,0.0
1715334384.2441175,1310720,0.0
1715334393.677504,1327104,0.0
1715334403.1843517,1343488,0.0
1715334412.7242072,1359872,0.0
1715334422.4074602,1376256,0.0
1715334432.0351856,1392640,0.0
1715334441.2315686,1409024,0.0
1715334450.5678523,1425408,0.0
1715334459.7392783,1441792,0.0
1715334468.989239,1458176,0.0
1715334478.1591058,1474560,0.0
1715334487.5204847,1490944,0.0
1715334496.8356357,1507328,0.0
1715334506.3113856,1523712,0.0
1715334515.7437,1540096,0.0
1715334525.2331128,1556480,0.0
1715334534.4663472,1572864,0.0
1715334543.9799244,1589248,0.0
1715334553.099142,1605632,0.0
1715334562.3128595,1622016,0.0
1715334571.5366566,1638400,0.0
1715334580.8273995,1654784,0.0
1715334590.2323453,1671168,0.0
1715334599.8250668,1687552,0.0
1715334609.2035294,1703936,0.0
1715334618.7656798,1720320,0.0
1715334627.9935434,1736704,0.0
1715334637.551257,1753088,0.0
1715334646.90321,1769472,0.0
1715334656.1985343,1785856,0.0
1715334665.6725326,1802240,0.0
1715334674.897324,1818624,0.0
1715334684.0844831,1835008,0.0
1715334693.3963902,1851392,0.0
1715334702.6470091,1867776,0.0
1715334711.7907279,1884160,0.0
1715334721.063517,1900544,0.0
1715334730.380916,1916928,0.0
1715334739.770772,1933312,0.0
1715334748.9713638,1949696,0.0
1715334758.149994,1966080,0.0
1715334767.30278,1982464,0.0
1715334776.6375344,1998848,0.0
1715334786.0815365,2015232,0.0
