Wall time,Step,Value
1712755178.161131,2048,0.0
1712755180.728156,4096,0.0
1712755183.2711723,6144,0.0
1712755185.8219082,8192,0.0
1712755188.3714652,10240,0.0
1712755190.9159348,12288,150.0
1712755193.4614418,14336,0.0
1712755196.0106473,16384,0.0
1712755198.5564072,18432,0.0
1712755201.1157062,20480,0.0
1712755203.6643085,22528,0.0
1712755206.2157428,24576,0.0
1712755208.793373,26624,0.0
1712755211.3709776,28672,0.0
1712755213.9501684,30720,0.0
1712755216.6693273,32768,0.0
1712755219.2080212,34816,0.0
1712755221.7541168,36864,0.0
1712755224.2962832,38912,0.0
1712755226.8501585,40960,0.0
1712755229.4115145,43008,0.0
1712755231.9651988,45056,150.0
1712755234.5165384,47104,0.0
1712755237.065051,49152,0.0
1712755239.62298,51200,0.0
1712755242.187312,53248,0.0
1712755244.739835,55296,0.0
1712755247.3130474,57344,0.0
1712755249.8606846,59392,0.0
1712755252.415884,61440,0.0
1712755255.0091386,63488,0.0
1712755257.563688,65536,0.0
1712755260.117467,67584,0.0
1712755262.6662457,69632,0.0
1712755265.2087777,71680,0.0
1712755267.7524593,73728,0.0
1712755270.3066757,75776,0.0
1712755272.8616333,77824,0.0
1712755275.4331224,79872,100.0
1712755280.5951319,81920,0.0
1712755283.1517763,83968,0.0
1712755285.70231,86016,0.0
1712755288.2558017,88064,0.0
1712755290.8089397,90112,0.0
1712755293.3617613,92160,0.0
1712755295.9115136,94208,0.0
1712755298.4635592,96256,0.0
1712755301.0130887,98304,0.0
1712755303.5681422,100352,0.0
1712755306.1263833,102400,0.0
1712755308.6777363,104448,0.0
1712755311.2292876,106496,0.0
1712755313.7811022,108544,0.0
1712755316.3351214,110592,100.0
1712755318.889817,112640,0.0
1712755321.4449987,114688,0.0
1712755324.0021834,116736,0.0
1712755326.555848,118784,0.0
1712755329.1063697,120832,0.0
1712755331.6626847,122880,0.0
1712755334.2113616,124928,0.0
1712755336.795484,126976,0.0
1712755339.355322,129024,0.0
1712755341.9236927,131072,0.0
1712755344.4819827,133120,0.0
1712755347.032313,135168,0.0
1712755349.5884075,137216,0.0
1712755352.145672,139264,0.0
1712755354.7063096,141312,0.0
1712755357.262988,143360,0.0
1712755359.82315,145408,0.0
1712755362.380619,147456,0.0
1712755364.9441597,149504,0.0
1712755367.5005527,151552,0.0
1712755370.0562477,153600,0.0
1712755372.6106899,155648,0.0
1712755375.1605556,157696,150.0
1712755377.7198305,159744,0.0
1712755380.2793627,161792,0.0
1712755382.8374887,163840,0.0
1712755385.3957,165888,0.0
1712755387.953778,167936,0.0
1712755390.5231194,169984,0.0
1712755393.1235776,172032,0.0
1712755395.698153,174080,0.0
1712755398.2572646,176128,0.0
1712755400.833359,178176,0.0
1712755403.3971372,180224,0.0
1712755405.9608421,182272,0.0
1712755408.5234227,184320,0.0
1712755411.0853045,186368,0.0
1712755413.6505594,188416,0.0
1712755416.227088,190464,0.0
1712755418.7811286,192512,100.0
