Wall time,Step,Value
1710261073.8330803,2048,170.0
1710261076.5281436,4096,0.0
1710261079.2306366,6144,0.0
1710261081.9191604,8192,0.0
1710261084.6410415,10240,0.0
1710261087.3296967,12288,0.0
1710261090.0732338,14336,0.0
1710261092.785693,16384,0.0
1710261095.559913,18432,0.0
1710261098.3180063,20480,0.0
1710261100.983545,22528,0.0
1710261103.6722782,24576,0.0
1710261106.3564966,26624,10.0
1710261109.0402,28672,160.0
1710261111.7005763,30720,0.0
1710261114.3609526,32768,0.0
1710261117.0462775,34816,0.0
1710261119.7121944,36864,170.0
1710261122.3866198,38912,0.0
1710261125.0420487,40960,0.0
1710261127.7147555,43008,0.0
1710261130.381623,45056,0.0
1710261133.0432372,47104,0.0
1710261135.70892,49152,0.0
1710261138.3914921,51200,0.0
1710261141.046936,53248,0.0
1710261143.713293,55296,0.0
1710261146.4754493,57344,0.0
1710261149.2422137,59392,0.0
1710261151.9908535,61440,0.0
1710261154.7003374,63488,0.0
1710261157.485014,65536,0.0
1710261160.2516458,67584,0.0
1710261163.0003047,69632,0.0
1710261165.8216019,71680,0.0
1710261168.5696995,73728,0.0
1710261171.2964094,75776,0.0
1710261173.952312,77824,0.0
1710261176.6130972,79872,0.0
1710261179.3059616,81920,0.0
1710261182.0076444,83968,0.0
1710261184.661493,86016,0.0
1710261187.3931348,88064,0.0
1710261190.0812962,90112,160.0
1710261192.7385936,92160,0.0
1710261195.4141006,94208,0.0
1710261198.0887754,96256,0.0
1710261200.8017304,98304,0.0
1710261203.5022335,100352,0.0
1710261206.2210195,102400,0.0
1710261208.874665,104448,0.0
1710261211.534921,106496,0.0
1710261214.212032,108544,0.0
1710261216.883509,110592,160.0
1710261219.5468237,112640,0.0
1710261222.212734,114688,0.0
1710261224.8746598,116736,0.0
1710261227.5582209,118784,0.0
1710261230.2273371,120832,0.0
1710261232.8846836,122880,0.0
1710261235.5566502,124928,0.0
1710261238.2370071,126976,0.0
1710261240.9507017,129024,0.0
1710261243.656467,131072,0.0
1710261246.3600159,133120,0.0
1710261249.0775077,135168,0.0
1710261251.7855806,137216,0.0
1710261254.4702806,139264,0.0
1710261257.1844192,141312,0.0
1710261259.9044583,143360,0.0
1710261262.6248262,145408,0.0
1710261265.3370092,147456,0.0
1710261268.085276,149504,0.0
1710261270.8637655,151552,0.0
1710261273.5737991,153600,0.0
1710261276.2674081,155648,0.0
1710261278.9329283,157696,0.0
1710261281.6127155,159744,0.0
1710261284.3027933,161792,170.0
1710261287.002663,163840,0.0
1710261289.6710036,165888,0.0
1710261292.3650255,167936,160.0
1710261295.0809822,169984,0.0
1710261297.7615004,172032,0.0
1710261300.4606824,174080,0.0
1710261303.2380471,176128,0.0
1710261305.9280803,178176,0.0
1710261308.6553085,180224,10.0
1710261311.336507,182272,0.0
1710261314.0952125,184320,0.0
1710261316.8929312,186368,0.0
1710261319.6435544,188416,0.0
1710261322.3737695,190464,0.0
1710261325.0526767,192512,0.0
1710261327.7433999,194560,0.0
1710261330.3853889,196608,0.0
1710261333.078092,198656,0.0
1710261335.729679,200704,10.0
1710261338.404591,202752,0.0
1710261341.0527108,204800,0.0
1710261343.737469,206848,0.0
1710261346.4601555,208896,0.0
1710261349.1528451,210944,0.0
1710261351.8150883,212992,0.0
1710261354.4635541,215040,0.0
1710261357.1422071,217088,0.0
1710261359.8134658,219136,0.0
1710261362.5024915,221184,0.0
1710261365.154092,223232,0.0
1710261367.8255901,225280,0.0
1710261370.4867377,227328,0.0
1710261373.1572402,229376,0.0
1710261375.8150375,231424,0.0
1710261378.498553,233472,0.0
1710261381.177782,235520,0.0
1710261383.8688867,237568,10.0
1710261386.5312545,239616,0.0
1710261389.2003198,241664,0.0
1710261391.867107,243712,0.0
1710261394.5269275,245760,0.0
1710261397.1928349,247808,0.0
1710261399.8499458,249856,0.0
